Feature,Importance
0,Foreign_Worker,0.004287239809082988
1,Dependants,0.011917442448321148
2,Telephone,0.020183579350649357
3,Existing_Credit_Count,0.02055322689933689
4,Guarantor,0.02095800293118526
5,Job,0.027995094827975922
6,Housing,0.029518083716971847
7,Other_Installment_Plans,0.03091299327554387
8,Marital_Status,0.03520506134214915
9,Present_Residence_Since,0.040827317603478415
10,Property,0.04354486803126809
11,Installment_Rate,0.044613347714351194
12,Savings_Account,0.04715239203115031
13,Present_Employment_Since,0.05451460047280252
14,Credit_History,0.06613013028870542
15,Purpose,0.07003327528873289
16,Duration,0.092506742702937
17,Age,0.09912807853111832
18,Account_Status,0.10350026050599599
19,Credit_Amount,0.13651826222824337
